ILOC_CODE_2016,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC30801101,0,40,3,42,9,103,0,106,3,34,0,36,4,11,0,20,3,35,0,41,3,32,0,35,0,28,0,25,0,28,0,28,3,17,0,21,23,329,5,359,0,41,3,41,4,76,0,86,0,34,4,43,0,28,0,30,0,40,3,47,0,40,3,43,3,26,0,33,3,23,0,27,3,10,0,15,14,325,17,354,0,73,3,85,9,176,3,192,3,69,4,78,4,42,0,49,3,78,3,88,3,69,4,76,5,53,0,57,4,49,0,57,3,33,0,33,36,655,25,711
ILOC30801201,13,427,25,456,52,798,24,870,16,306,3,328,9,244,5,259,16,333,5,351,13,253,9,278,17,188,0,211,11,116,0,128,25,36,6,63,179,2693,83,2952,3,380,19,404,23,763,34,823,5,303,4,320,6,265,7,276,16,451,15,482,16,330,10,353,29,206,10,246,30,133,9,169,28,56,4,84,162,2883,118,3162,17,805,45,865,77,1557,54,1694,24,606,16,649,12,500,17,534,32,787,22,842,34,580,15,631,47,399,15,455,44,249,6,302,53,89,12,151,341,5576,197,6114
ILOC30801301,5,334,14,355,41,618,22,680,19,330,5,354,7,254,4,266,15,367,9,395,14,253,4,273,23,221,5,254,22,149,7,175,37,64,3,99,191,2575,81,2852,5,318,14,340,26,625,21,669,7,328,7,342,4,292,15,312,7,368,15,398,22,338,13,372,34,268,13,318,21,138,12,170,48,104,3,156,176,2775,110,3068,16,651,26,693,66,1238,46,1353,17,662,15,692,13,540,20,573,26,738,25,785,42,583,16,645,59,490,19,569,47,281,16,350,84,162,8,255,368,5356,191,5915
ILOC30801401,0,17,0,15,3,28,0,35,0,16,0,16,0,16,0,16,0,8,0,8,5,13,0,18,0,12,0,12,3,8,0,12,0,3,3,3,7,123,3,133,0,15,0,15,0,38,0,33,0,9,0,14,0,9,0,5,0,18,0,18,0,21,0,24,0,14,0,13,3,16,0,18,3,5,0,6,12,130,3,144,0,33,0,33,4,62,0,71,0,23,0,28,0,22,0,24,0,24,0,24,3,38,0,40,0,22,0,25,5,27,0,30,3,5,4,10,20,254,5,276
ILOC30801402,0,7,0,8,0,16,3,17,0,6,31,38,0,10,78,88,0,4,160,164,0,10,102,113,0,7,46,56,3,16,9,23,5,5,4,11,10,82,435,524,0,4,0,4,0,19,0,24,0,5,14,21,0,7,22,29,0,10,43,57,0,14,17,29,0,9,6,24,0,14,0,19,0,4,0,8,7,90,107,208,0,17,0,19,0,39,3,37,0,17,43,56,0,10,103,115,0,15,204,224,0,20,123,141,4,20,58,80,3,27,7,41,6,5,7,15,15,177,541,733
ILOC30801501,0,17,0,17,3,53,5,57,0,14,0,14,0,17,0,17,0,20,0,20,0,15,0,16,3,26,0,29,0,15,0,17,0,3,0,11,10,184,5,201,0,14,0,15,0,43,0,45,0,16,0,16,0,12,0,12,0,21,0,22,0,18,0,22,0,25,0,22,0,20,0,25,6,12,0,13,5,176,7,193,0,33,0,32,0,96,4,103,0,34,0,34,0,26,0,26,0,37,0,44,0,40,0,39,3,43,0,48,0,35,0,36,6,13,0,23,22,359,13,393
ILOC30801502,0,3,0,3,0,10,3,9,0,5,0,9,0,3,0,7,0,10,0,10,0,6,4,6,0,7,0,4,0,0,0,3,0,3,0,3,3,46,5,55,0,10,0,10,0,7,4,8,0,0,0,0,0,0,0,3,0,3,0,9,0,5,3,7,0,3,0,3,0,3,0,5,0,4,0,4,0,39,9,52,0,11,0,11,0,14,8,21,0,6,0,12,0,8,0,6,0,11,0,17,0,7,3,12,0,8,0,6,0,7,0,11,0,6,0,6,3,88,17,102
ILOC30801503,0,15,3,19,0,25,3,26,0,12,0,14,0,13,0,13,0,15,0,14,0,16,0,17,3,8,0,9,0,7,0,6,0,4,0,7,8,113,6,132,0,7,3,10,0,34,3,40,0,15,0,14,0,14,0,17,0,17,0,18,0,18,0,18,0,19,0,19,0,5,3,6,5,6,0,7,8,123,11,143,0,24,9,31,0,63,4,67,0,24,3,32,0,26,0,29,0,27,0,29,0,32,0,32,3,30,0,32,0,7,3,9,4,11,3,17,14,239,19,272
ILOC39499494,0,19,3,27,0,20,0,20,0,26,3,24,0,23,6,31,3,45,45,98,3,59,62,125,10,53,49,107,3,16,23,36,7,15,0,24,21,277,194,488,0,14,0,19,0,26,0,24,0,25,0,28,0,28,7,39,0,19,28,46,0,27,38,67,3,23,22,47,0,19,7,27,0,13,0,13,8,190,107,310,0,36,3,43,0,45,4,48,3,44,7,50,0,52,18,70,3,70,71,146,7,83,96,187,12,68,76,154,3,32,32,69,7,23,0,33,33,466,297,799
ILOC39799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ILOC40100101,0,3,0,8,0,10,0,10,0,7,0,7,0,8,9,21,0,18,24,43,0,10,11,22,0,12,3,17,3,7,0,14,4,0,0,8,6,77,55,138,0,10,0,10,0,16,0,16,0,19,0,19,0,16,0,16,0,15,0,17,0,11,0,11,3,12,0,10,3,10,0,8,0,0,0,0,7,104,0,109,0,10,0,11,0,26,0,26,0,21,0,21,0,29,9,38,0,38,24,63,0,21,11,31,3,21,3,31,6,19,0,24,4,5,0,8,15,176,55,247
ILOC40100102,0,8,0,8,0,13,0,13,0,20,0,20,3,9,0,12,0,16,0,17,3,13,0,17,4,9,0,9,3,13,0,15,0,3,0,7,13,102,0,112,0,4,0,4,0,20,0,20,0,11,3,19,0,7,0,7,0,8,0,8,0,12,0,12,3,13,0,16,4,16,0,19,3,4,0,8,10,92,3,103,0,11,0,11,0,35,0,35,0,31,3,38,3,15,0,18,0,28,0,29,0,20,0,27,7,20,0,30,4,24,0,27,4,8,0,11,20,193,7,215
ILOC40100201,0,6,0,6,0,18,0,21,0,13,0,10,0,10,0,10,0,11,0,11,0,3,0,3,0,7,3,15,0,16,0,15,0,4,0,6,4,87,3,96,0,6,0,6,0,24,0,20,0,10,0,10,0,3,0,3,0,11,0,7,0,3,0,6,3,18,0,16,0,3,0,8,0,6,0,6,3,83,3,91,0,16,0,16,3,44,0,42,0,17,0,18,0,15,0,15,0,19,0,18,0,8,0,15,3,27,3,33,0,16,0,23,0,8,0,7,7,170,9,185
ILOC40100202,0,37,0,36,5,24,3,34,0,18,0,22,0,12,0,13,0,13,0,16,0,20,0,20,0,7,0,7,5,12,0,13,3,3,0,5,18,148,6,174,0,19,0,25,3,48,0,53,0,15,3,22,0,12,0,14,0,24,0,21,0,17,0,23,0,17,0,15,0,8,0,9,0,9,0,7,12,169,8,192,3,59,0,59,10,73,3,85,3,37,5,42,3,28,0,33,3,37,0,38,0,37,0,39,0,27,0,25,8,19,0,28,5,12,0,12,36,317,12,368
ILOC40100301,3,29,0,32,14,61,0,78,4,27,0,30,0,29,0,31,0,32,0,35,0,27,0,24,4,20,0,28,7,25,0,29,4,20,0,26,30,270,4,312,0,15,0,15,5,55,0,58,4,43,0,43,0,15,0,19,0,28,0,35,0,35,0,35,7,19,0,28,3,12,0,14,0,13,0,13,15,242,4,262,3,46,0,53,14,114,0,134,4,72,0,76,0,44,0,53,5,63,0,66,0,63,0,63,11,38,3,50,3,32,0,38,6,32,0,37,47,513,7,573
ILOC40100401,0,14,0,11,0,21,0,20,0,6,0,11,0,3,0,4,0,6,0,11,0,16,0,14,0,14,0,14,3,5,0,5,4,3,0,8,11,86,4,97,0,4,0,4,0,16,0,18,0,14,0,16,0,9,0,9,0,8,0,8,4,14,0,15,3,11,0,10,8,9,0,15,3,4,0,5,15,85,4,105,0,18,0,19,0,38,0,46,0,23,0,27,0,10,0,8,0,11,0,15,4,32,0,31,3,20,3,27,7,11,0,23,8,8,0,10,24,170,6,204
ILOC40100402,0,14,0,17,4,30,3,36,0,19,0,19,0,9,0,6,0,11,0,13,3,14,0,18,3,16,0,18,0,5,0,15,3,8,0,7,17,127,10,154,0,16,0,13,0,37,0,37,0,8,0,8,0,9,0,11,0,19,3,19,0,12,0,16,6,12,0,18,3,7,3,12,0,5,0,9,10,117,10,139,0,28,0,34,4,66,3,71,0,21,0,24,3,10,0,13,0,33,5,40,3,25,0,31,9,30,3,34,6,13,4,24,3,11,0,18,29,244,21,292
ILOC40100501,0,12,0,12,0,29,0,34,0,30,3,29,0,12,3,18,4,20,0,18,3,16,0,18,3,10,0,11,0,3,0,4,0,3,0,7,10,136,3,155,0,10,0,10,3,24,0,27,0,21,0,21,0,16,0,19,0,17,0,21,3,17,3,23,3,15,0,18,0,13,0,15,0,8,0,12,10,147,7,160,0,23,0,23,0,50,0,59,0,50,3,52,0,26,3,31,4,34,0,39,8,36,3,46,7,25,0,32,0,12,0,17,3,15,0,19,20,286,12,319
ILOC40100502,0,8,0,8,3,22,0,27,0,6,0,6,0,10,0,10,3,19,0,18,0,9,0,5,0,9,0,13,0,7,0,6,0,6,0,6,9,101,3,107,0,6,0,10,0,17,0,17,0,16,0,16,0,11,0,11,3,17,0,14,0,10,0,6,3,10,0,12,0,10,0,14,0,8,0,4,11,98,0,108,0,19,0,19,3,40,0,45,0,25,0,25,0,23,0,23,7,31,0,36,0,15,0,14,3,18,0,25,9,11,0,20,0,13,0,12,14,194,9,219
ILOC40100601,0,10,0,10,0,27,0,30,0,17,0,15,0,13,0,18,0,20,0,25,0,11,0,14,0,13,0,12,3,11,0,17,0,4,0,6,9,130,3,144,0,22,0,23,0,33,3,37,0,24,0,24,3,18,0,16,0,28,0,34,3,18,0,22,3,20,0,21,3,13,0,17,0,7,0,8,14,178,8,204,0,31,0,31,3,65,3,70,0,40,0,41,0,34,0,32,0,56,0,59,3,32,0,37,0,31,0,33,6,26,0,27,0,9,4,15,27,310,13,350
ILOC40100602,0,17,0,14,3,26,0,32,0,8,3,11,0,11,0,14,0,21,0,19,0,19,0,20,0,8,0,14,0,10,0,10,0,8,0,4,9,122,3,137,0,10,0,10,0,38,0,44,0,12,0,12,0,8,0,14,3,16,0,22,0,19,0,22,0,19,0,19,3,14,0,20,3,5,0,3,10,144,3,159,0,24,0,26,3,65,0,75,0,22,3,27,3,22,0,24,3,34,0,38,3,37,0,36,0,29,0,29,3,20,0,23,4,12,0,12,24,265,8,295
ILOC40100603,0,13,0,20,4,24,0,25,0,19,0,23,0,14,0,14,0,28,0,27,3,16,3,20,5,16,0,21,4,13,0,16,0,3,0,3,18,148,4,167,0,19,3,24,0,36,4,39,0,23,0,22,0,9,0,9,0,34,0,42,3,21,0,19,9,11,0,19,3,12,0,14,3,7,0,11,25,167,14,204,0,31,3,37,3,55,7,68,0,39,0,41,0,24,0,22,4,58,3,67,3,32,3,39,13,29,0,46,3,24,0,27,5,14,0,17,37,321,14,374
ILOC40100604,0,24,0,24,5,54,6,60,0,29,3,35,3,34,0,41,0,37,0,35,5,29,3,35,3,21,0,24,3,17,0,24,3,6,0,7,19,252,5,280,0,21,0,27,0,44,0,44,0,26,3,31,0,25,3,26,0,29,3,29,4,29,4,33,3,36,0,39,0,21,0,28,0,10,0,14,11,244,16,267,0,50,0,50,5,93,8,104,4,58,3,70,3,61,3,62,0,61,3,68,4,50,5,63,3,53,0,58,8,40,0,50,3,19,0,30,31,497,24,551
ILOC40100701,0,40,3,37,11,82,3,91,0,38,0,35,0,24,0,22,3,34,4,40,4,27,0,32,8,29,0,38,5,25,0,27,4,18,0,21,32,309,10,352,0,33,0,35,5,78,0,82,3,34,0,37,0,23,0,23,3,30,0,35,7,38,3,45,12,38,0,48,7,23,0,27,6,14,0,21,40,320,8,360,0,72,4,73,11,156,3,178,3,70,0,79,0,46,0,47,5,66,4,75,11,68,5,76,16,69,0,83,12,46,0,56,12,33,0,41,69,626,17,717
ILOC40100801,0,23,0,22,7,46,3,53,0,20,0,24,0,10,0,10,0,16,0,16,0,14,0,16,8,15,0,20,4,3,0,8,3,3,0,6,25,153,7,183,0,24,0,22,3,47,0,50,0,26,0,22,3,28,0,27,0,24,0,28,0,19,0,23,0,18,0,19,4,12,0,15,10,6,0,18,22,200,3,227,3,44,3,52,12,88,0,103,3,47,0,50,3,36,0,42,0,40,0,45,3,36,0,35,8,34,0,41,6,19,0,25,9,10,0,24,46,356,11,410
ILOC40100901,0,19,0,19,0,14,0,20,0,10,0,11,0,5,0,5,0,27,0,27,0,13,0,11,3,11,0,13,3,8,0,16,0,3,0,4,8,113,0,124,0,8,0,8,0,19,0,15,0,15,0,15,0,17,0,17,0,12,0,15,0,16,0,20,0,16,0,16,5,9,0,17,0,7,0,7,9,113,0,126,0,21,0,21,3,30,0,38,0,27,0,27,0,24,0,24,0,41,0,40,3,30,0,28,4,26,0,33,5,25,0,29,0,10,0,12,18,226,3,245
ILOC40100902,0,27,0,27,3,56,0,59,0,34,0,35,4,20,0,25,3,46,3,49,3,29,0,31,4,24,0,34,0,17,0,19,0,6,0,10,21,255,12,286,0,29,0,29,0,48,0,48,0,36,0,39,0,29,0,25,3,43,0,48,3,24,3,28,3,30,0,30,0,16,0,12,4,16,3,21,8,262,6,279,0,52,0,52,3,100,0,103,0,67,3,70,4,50,3,55,5,86,3,99,7,52,3,62,8,53,0,60,0,32,0,36,4,24,3,26,33,518,18,568
ILOC40101001,0,21,0,19,3,32,0,32,0,8,3,13,0,8,0,9,0,9,0,9,0,11,0,9,0,5,0,10,4,4,0,11,3,3,0,8,13,103,9,116,0,12,0,13,3,43,0,42,0,9,0,11,0,15,0,15,0,8,0,11,3,14,0,20,0,15,0,14,0,9,0,5,3,3,0,5,15,122,3,145,0,32,0,35,6,73,3,76,0,21,4,28,0,23,3,20,0,19,0,22,4,18,0,29,3,23,0,23,7,9,0,15,3,9,0,17,22,227,16,258
ILOC40101002,0,11,0,13,0,19,0,24,0,11,0,11,0,8,3,6,0,6,8,15,0,12,5,15,4,8,3,17,0,11,0,12,3,4,0,5,13,93,18,124,0,8,0,12,0,18,0,18,0,13,0,13,0,0,0,3,0,16,0,16,3,10,0,12,0,3,0,3,3,3,0,3,3,3,0,5,9,72,3,85,0,20,0,27,0,43,0,41,0,19,0,19,0,9,3,14,0,21,8,32,3,26,5,28,4,15,3,19,4,16,0,16,8,5,0,8,22,171,23,209
ILOC40101101,0,21,0,26,11,51,0,58,3,29,3,40,0,26,0,30,3,34,0,35,3,16,0,22,3,20,0,29,0,9,7,20,3,9,0,9,33,216,8,265,0,15,0,13,3,44,0,51,0,31,0,29,0,17,0,17,5,36,3,44,0,23,0,22,6,33,0,38,4,16,0,21,4,12,0,15,21,226,11,256,0,38,4,37,11,98,3,110,7,59,3,68,0,50,0,50,10,70,3,75,5,33,0,46,11,55,0,65,5,26,7,36,10,15,0,29,55,439,20,519
ILOC40101102,0,14,4,18,0,23,0,25,4,13,0,18,0,13,0,10,0,15,0,16,0,14,0,9,0,20,3,21,3,6,0,11,3,0,0,9,18,120,6,146,0,17,3,14,0,32,0,36,0,19,0,18,0,22,0,23,3,24,0,29,5,16,0,18,4,14,0,17,3,11,0,13,0,6,0,6,15,152,6,177,0,27,3,33,0,59,0,64,4,30,3,34,0,31,3,31,6,37,0,49,5,28,0,34,4,36,4,40,5,22,0,22,7,5,0,16,32,274,14,320
ILOC40101103,0,12,0,12,3,12,0,14,3,13,0,13,0,8,0,15,0,16,0,14,0,8,0,11,0,8,0,8,0,5,0,12,0,5,0,5,7,91,0,99,0,9,0,9,3,21,0,21,0,8,0,10,0,5,0,14,0,14,0,14,0,10,0,10,0,6,0,5,0,8,0,8,0,3,0,4,7,79,0,90,0,22,0,22,3,33,0,44,3,18,0,22,3,17,0,20,0,26,0,26,0,16,0,20,0,11,0,15,0,14,0,18,0,9,0,9,12,168,3,189
ILOC40101201,0,49,5,54,10,96,5,114,4,44,3,56,0,37,15,51,4,49,29,83,6,29,17,53,4,38,11,51,0,26,3,32,3,20,3,23,37,385,90,517,0,46,9,59,3,94,0,98,3,48,0,50,0,36,0,34,3,58,4,64,3,44,0,49,3,40,0,44,3,31,0,33,7,18,3,29,24,412,19,455,3,96,12,111,10,189,5,210,7,96,3,107,0,70,15,87,4,105,33,145,11,74,19,100,9,73,18,97,8,57,3,65,8,37,3,54,58,802,106,973
ILOC40101301,0,0,0,0,0,12,0,12,0,3,0,5,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,3,3,0,3,0,3,0,3,3,36,0,43,0,9,0,9,0,17,0,17,0,0,0,0,0,0,0,0,0,11,0,11,0,7,0,7,4,0,0,3,4,0,0,9,3,0,0,3,5,51,0,58,0,12,0,12,0,29,0,29,0,8,0,5,0,3,0,3,0,10,0,10,0,14,0,14,4,10,0,8,5,4,0,11,3,3,0,6,12,86,0,99
ILOC40101302,0,8,0,8,3,16,0,18,0,8,0,8,0,8,0,8,0,7,0,10,0,8,0,10,4,20,0,19,0,13,0,13,4,7,0,10,11,86,0,98,0,11,0,7,0,13,0,16,0,3,0,6,0,6,0,6,0,6,0,6,0,11,0,9,0,10,0,10,3,4,0,12,4,5,0,6,10,72,0,89,0,21,0,18,6,36,0,37,0,15,0,15,0,13,0,13,0,19,0,19,0,12,0,15,4,29,0,28,3,16,0,22,4,5,0,10,20,158,3,185
ILOC40101303,0,4,0,4,0,17,0,13,0,3,0,3,0,3,0,3,0,9,0,9,0,0,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,46,0,48,0,4,3,6,0,10,0,10,0,7,0,7,0,5,0,4,0,10,0,10,0,0,0,6,0,3,0,3,0,3,0,3,0,0,0,0,3,50,3,58,0,7,3,11,0,20,0,27,0,15,0,15,0,5,0,6,0,27,0,27,0,3,3,8,0,9,0,9,0,12,0,12,0,0,0,0,6,96,4,104
ILOC40101401,0,71,0,70,13,163,4,185,9,54,0,68,4,47,0,51,0,77,0,82,3,60,0,60,4,38,0,39,0,30,0,37,7,17,4,23,50,558,15,620,3,79,4,81,19,159,4,178,3,74,0,74,3,52,0,56,5,83,0,91,14,82,3,99,8,47,0,48,9,32,0,47,5,22,3,25,67,624,16,710,3,146,4,152,34,323,7,364,14,128,0,147,3,105,4,113,9,164,5,171,19,141,3,159,12,80,0,95,14,65,3,79,10,36,5,55,117,1185,30,1335
ILOC40101402,3,38,3,41,8,66,0,70,0,24,0,23,0,27,0,25,3,33,0,36,3,25,0,27,4,18,0,22,3,3,0,9,0,8,0,7,28,235,10,269,0,32,4,35,4,55,0,62,3,28,0,30,3,34,3,35,3,29,0,39,6,25,0,31,0,17,0,19,3,11,3,20,6,4,0,11,27,236,12,275,3,66,5,75,8,122,0,134,0,52,4,54,3,57,3,61,4,65,0,72,7,48,0,55,7,34,0,43,7,15,3,30,3,7,0,15,50,468,24,543
ILOC40101403,3,58,0,60,15,90,3,102,3,51,0,54,0,27,0,33,0,25,0,23,0,24,0,27,3,24,0,33,0,12,0,11,4,13,0,14,30,320,8,355,3,41,0,43,0,88,0,92,3,38,0,37,0,37,0,39,0,39,0,44,0,33,0,34,3,31,0,37,3,11,0,15,3,4,5,12,25,326,13,362,4,101,3,105,12,181,3,196,7,85,0,92,4,65,0,64,0,63,5,67,8,56,0,67,8,56,3,63,3,25,0,27,6,22,5,33,58,647,16,714
ILOC40101501,0,68,3,71,10,87,4,103,5,40,0,42,0,36,0,41,0,43,0,47,3,22,0,21,3,20,0,24,4,16,0,23,7,5,0,17,37,325,13,376,0,60,3,62,10,97,0,108,3,37,0,43,3,40,0,41,0,62,5,72,3,33,0,41,3,23,0,26,6,6,0,17,9,7,0,16,38,366,17,421,4,128,8,136,17,184,7,209,10,75,4,82,3,79,3,83,5,109,8,116,10,51,0,62,5,41,0,52,17,25,0,39,15,9,0,30,81,696,29,800
ILOC40101502,0,42,0,48,3,54,3,64,3,32,3,37,0,27,0,27,3,42,0,41,4,21,0,26,4,18,0,25,0,13,0,16,0,9,0,9,22,260,10,286,0,41,3,42,6,66,0,75,3,38,0,35,3,24,0,27,0,52,0,47,4,27,0,30,0,26,0,29,5,17,0,18,0,3,0,3,16,287,4,310,0,84,0,85,7,124,3,138,4,69,4,74,3,48,3,54,4,85,0,93,5,44,0,53,5,49,3,59,3,30,0,33,0,8,0,11,35,550,15,602
ILOC40101503,10,95,6,111,23,128,15,171,6,56,0,68,0,46,0,46,5,71,3,80,3,52,0,59,4,40,3,52,5,35,0,42,3,8,0,11,63,544,36,635,5,86,5,95,10,140,10,158,0,67,0,70,3,53,3,58,9,81,0,89,8,55,3,60,14,46,3,68,5,27,3,40,17,14,0,30,67,568,28,665,8,177,11,204,37,269,22,324,8,128,0,136,0,105,3,110,11,154,7,168,16,102,5,121,16,92,5,118,14,59,4,77,20,23,0,42,129,1109,62,1296
ILOC40101504,3,25,0,34,6,44,3,53,0,21,0,21,8,19,0,23,0,25,0,28,3,22,0,24,0,9,0,10,4,3,0,3,0,4,0,3,25,170,4,196,0,26,0,26,0,43,0,46,3,14,0,15,0,23,0,23,3,29,0,35,0,17,0,15,0,17,0,16,3,10,0,11,7,0,0,7,20,173,3,198,3,54,0,60,9,89,4,96,3,38,0,44,8,38,0,41,3,55,0,61,0,37,0,40,4,21,0,27,8,14,0,16,7,4,0,11,39,347,5,394
ILOC40101601,0,34,0,34,10,80,5,91,3,58,0,67,3,25,0,37,0,58,0,60,0,32,4,40,3,33,3,36,8,25,0,32,6,11,0,13,36,348,17,399,3,42,4,46,3,96,3,105,3,44,0,49,0,32,0,32,6,40,0,46,4,46,0,54,5,45,0,47,0,22,0,27,6,13,0,24,25,391,11,424,3,74,3,77,13,173,4,193,9,108,0,113,3,57,0,62,8,99,0,107,6,77,4,91,5,76,3,88,9,44,0,54,8,26,0,35,64,741,22,830
ILOC40101602,0,32,0,34,3,68,3,75,3,44,6,55,0,21,15,38,4,27,44,72,0,18,34,55,8,16,14,40,0,6,4,14,6,0,0,7,20,244,121,389,0,39,3,38,3,73,3,78,0,33,0,39,0,25,10,36,0,38,18,64,0,44,18,65,4,36,0,41,7,25,0,31,4,4,4,15,24,314,60,399,0,66,3,71,8,139,5,149,3,80,14,96,0,52,26,77,4,67,62,134,0,66,57,120,9,55,17,80,10,33,4,39,5,8,5,20,41,563,184,788
ILOC40101603,0,16,0,23,6,46,3,57,0,20,0,20,0,17,0,17,0,25,3,29,4,19,0,17,3,16,0,24,3,13,3,16,0,3,0,3,22,180,6,210,0,18,0,21,3,58,0,63,0,23,0,22,0,16,0,18,0,33,0,32,3,23,0,28,3,25,0,29,3,14,0,18,3,9,0,15,22,217,9,247,3,35,4,45,11,103,4,119,0,46,0,48,0,36,0,38,3,60,3,66,3,42,0,50,5,46,0,48,4,19,3,34,3,13,0,17,40,400,19,454
ILOC40101604,0,19,3,22,3,38,0,37,3,23,0,29,0,11,0,11,4,25,0,29,3,9,0,10,8,12,0,20,3,9,0,11,3,3,3,10,18,150,9,177,0,19,3,17,0,32,0,37,0,11,0,7,3,17,0,17,0,24,0,28,3,17,0,21,4,23,0,28,3,13,3,22,3,5,0,8,19,151,3,178,0,35,3,42,4,65,3,71,4,29,0,33,3,31,0,33,5,48,0,55,3,32,0,32,9,35,0,46,7,19,3,29,9,7,3,21,38,301,13,355
ILOC40101605,0,19,3,20,0,38,0,39,0,14,0,15,0,19,0,20,3,28,3,31,0,8,0,8,3,19,0,18,0,16,0,20,3,6,0,9,13,168,10,187,0,16,3,18,0,38,3,39,3,16,0,21,0,21,0,21,0,24,0,26,6,17,0,24,3,16,0,18,3,14,0,17,0,10,4,17,13,171,6,194,0,33,4,37,3,79,3,82,3,30,0,34,0,36,0,42,3,49,3,53,6,27,3,30,4,34,0,37,6,33,0,37,3,18,9,27,27,340,19,387
ILOC40101701,0,8,0,7,7,35,3,44,3,9,0,8,0,6,0,6,4,9,0,11,3,15,0,15,0,8,0,7,0,9,0,9,3,7,0,9,17,97,0,120,0,16,0,16,6,29,3,35,0,12,0,16,0,8,0,8,3,14,0,14,0,20,0,20,3,12,0,16,0,5,0,9,0,6,0,8,10,112,3,133,0,24,0,23,10,69,3,78,3,20,0,24,0,19,0,19,7,18,0,22,3,27,0,28,6,14,0,18,0,11,0,14,0,12,0,15,28,213,8,246
